,year,followers_count,posts_count,topic_id
0,2020,69,20,472
1,2020,107,76,471
2,2020,174,77,470
3,2020,190,92,469
4,2020,157,86,468
5,2020,134,10,435
6,2019,847,204,402
7,2019,1856,405,375
8,2019,886,696,374
9,2019,546,191,373
10,2019,1388,688,372
11,2019,534,380,371
12,2018,395,185,367
13,2018,718,241,366
14,2018,494,136,365
15,2018,966,139,364
16,2017,1777,155,363
17,2017,10913,2326,362
18,2017,13922,947,361
19,2017,5135,286,359
20,2016,5820,141,358
21,2016,7025,309,357
22,2016,41670,257,356
23,2016,5766,177,355
24,2016,101957,8766,354
25,2016,80201,12380,353
26,2016,312733,117335,352
27,2016,21001,1057,351
28,2016,9074,461,349
29,2016,7364,274,348
30,2016,9021,814,346
31,2016,6043,468,345
32,2016,24950,348,343
33,2016,96234,3593,342
34,2016,15471,161,341
35,2016,11137,768,308
36,2016,2561,113,307
37,2016,10580,820,303
38,2016,12300,190,283
39,2016,12562,417,282
40,2016,17870,369,280
41,2016,12663,1237,279
42,2016,29906,3266,278
43,2016,5599,463,277
44,2016,51310,1178,276
45,2016,5778,479,275
46,2016,7412,181,274
47,2016,970,236,273
48,2016,34246,2523,272
49,2016,17237,591,271
50,2016,38097,1313,269
51,2016,276409,8727,268
52,2016,331668,23223,267
53,2016,37119,273,266
54,2016,710,27,265
55,2016,11898,229,264
56,2016,156876,2664,261
57,2016,614,27,260
58,2016,3641,446,259
59,2016,3691,738,258
60,2016,27484,1175,256
61,2016,24429,477,254
62,2016,4379,591,253
63,2016,4696,868,252
64,2016,118902,3959,251
65,2016,30932,3396,250
66,2016,26719,1345,249
67,2016,8064,1179,248
68,2016,25444,2505,247
69,2016,3391,46,246
70,2016,2436,51,243
71,2016,16706,1263,242
72,2016,21927,4670,237
73,2016,169380,4985,232
74,2016,25704,1166,231
75,2016,21378,2670,230
76,2016,5127,494,228
77,2016,6665,262,227
78,2016,1578,81,226
79,2016,632,68,224
80,2016,2077,259,223
81,2016,2493,136,221
82,2016,663,30,220
83,2016,996,34,219
84,2016,989,99,218
85,2016,3449,149,217
86,2016,11100,348,214
87,2016,13878,366,213
88,2016,24062,3736,212
89,2016,2877,283,211
90,2016,2879,234,210
91,2016,11209,779,209
92,2016,41319,1054,208
93,2016,21734,1365,207
94,2016,115373,4071,206
95,2016,9346,732,205
96,2016,57744,6685,204
97,2016,19006,1588,203
98,2016,1890,64,202
99,2016,2948,431,199
100,2016,2558,282,198
101,2016,855,58,194
102,2016,776,51,193
103,2016,3192,309,182
104,2016,1502,51,181
105,2016,1343,47,180
106,2016,15951,652,179
107,2016,17481,1079,178
108,2016,940,48,177
109,2016,6454,440,176
110,2016,2268,177,175
111,2016,1896,114,174
112,2016,2006,192,173
113,2016,2205,258,172
114,2016,3000,515,170
115,2016,825,66,168
116,2016,1865,92,167
117,2016,1782,278,166
118,2016,968,61,165
119,2016,242009,23014,164
120,2016,991,43,163
121,2016,760,43,162
122,2016,1523,242,161
123,2016,1377,714,160
124,2016,3733,402,159
125,2016,2853,950,157
126,2016,2290,310,156
127,2016,711,43,155
128,2016,1558,254,154
129,2016,1941,132,153
130,2016,5253,3692,152
131,2016,1125,67,151
132,2016,2837,1380,150
133,2016,1207,227,149
134,2016,2264,141,148
135,2016,3618,562,147
136,2016,4703,2532,146
137,2016,2448,839,145
138,2016,2146,978,144
139,2016,1021,64,143
140,2016,1389,259,142
141,2016,996,137,141
142,2016,1915,189,140
143,2016,979,68,139
144,2016,9889,485,138
145,2016,2236,143,137
146,2016,29693,1114,135
147,2016,7174,486,134
148,2016,15785,408,132
149,2016,7379,302,131
150,2016,16318,297,130
151,2016,23349,1701,128
152,2016,8942,1913,125
153,2016,2886,133,124
154,2016,8154,1868,123
155,2016,60115,1080,122
156,2016,10035,1016,119
157,2016,4600,197,117
158,2016,765,62,116
159,2016,803,85,115
160,2016,1470,283,114
161,2016,1753,295,113
162,2016,1200,164,112
163,2016,5631,1349,111
164,2016,8254,412,110
165,2016,131911,5069,108
166,2016,5683,99,107
167,2016,22918,427,105
168,2016,66461,5789,104
169,2016,3567,793,103
170,2016,42748,1287,102
171,2016,20827,1215,101
172,2016,11091,967,100
173,2016,6784,416,97
174,2016,5271,690,96
175,2016,6534,267,95
176,2016,29897,4050,94
177,2016,231622,14339,93
178,2016,3499,668,92
179,2016,47231,1783,90
180,2016,54886,2531,89
181,2016,81288,3430,88
182,2016,2252,273,87
183,2016,9104,1601,85
184,2016,4192,1111,84
185,2016,3071,478,82
186,2016,2002,103,81
187,2016,2322,91,80
188,2016,1089,75,79
189,2016,3196,266,78
190,2016,12401,1611,76
191,2016,9093,2041,74
192,2016,146137,4273,73
193,2016,23328,1033,72
194,2016,13497,2219,71
195,2016,2018,228,70
196,2016,8054,2294,68
197,2016,3497,90,67
198,2016,3956,146,66
199,2016,20627,642,65
200,2016,13946,1032,64
201,2016,18795,1299,63
202,2016,4623,240,61
203,2016,45598,3656,60
204,2016,2353,272,59
205,2016,41235,3597,57
206,2016,3009,321,55
207,2016,1428,178,54
208,2016,629,21,53
209,2016,1383,177,52
210,2016,2784,818,51
211,2016,31004,2404,50
212,2016,1626,129,49
213,2016,68818,2443,48
214,2016,415416,42928,46
215,2016,8069,776,45
216,2016,169766,11707,44
217,2016,61787,7016,43
218,2016,9097,2110,42
219,2016,11672,2019,41
220,2016,30881,1909,39
221,2016,1450,140,37
222,2016,3618,612,36
223,2016,42605,3574,34
224,2016,20680,310,31
225,2016,39059,1110,30
226,2016,3564,345,29
227,2016,4766,218,28
228,2016,2577,125,27
229,2016,3618,419,26
230,2016,858,119,25
231,2016,1356,62,24
232,2016,2834,170,23
233,2016,66764,1778,22
234,2016,87761,26855,21
235,2016,90345,6008,19
236,2016,8406,2975,18
237,2016,3826,145,17
238,2016,2838,945,16
239,2016,2867,562,15
240,2016,5478,1028,13
241,2016,4405,1142,12
242,2016,2367,459,11
243,2016,5919,5769,9
244,2016,95378,27118,8
245,2016,600,36,7
246,2016,984,66,6
247,2016,580,48,5
248,2016,2313,242,4
249,2016,1502,206,3
250,2016,46945,18426,2
251,2016,3930,149,1
